Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 146",4.005680752066e-02,1.910057223767e-01,7.998323901637e-02,1.110224833604e-01,-1.551962217200e-02
"                 147",3.935942821676e-02,1.886923248558e-01,7.907391095673e-02,1.096184138990e-01,-1.527225147115e-02
"                 148",3.878287056867e-02,1.864430184627e-01,7.818594737390e-02,1.082570710888e-01,-1.503556185745e-02
"                 149",3.830089964873e-02,1.842897398835e-01,7.731807048679e-02,1.069716693967e-01,-1.482679945495e-02
"                 150",3.789543447439e-02,1.824463887607e-01,7.656448230256e-02,1.058819064581e-01,-1.465871207779e-02
"                 151",3.764303290677e-02,1.807863144658e-01,7.588576940406e-02,1.049005450618e-01,-1.450738782885e-02
"                 152",3.720865859148e-02,1.791424481357e-01,7.522065626066e-02,1.039217918750e-01,-1.435056780716e-02
"                 153",3.684680343264e-02,1.773049217705e-01,7.449098405581e-02,1.028139377147e-01,-1.416147682944e-02
"                 154",3.639842123540e-02,1.753211909651e-01,7.368551808007e-02,1.016356728850e-01,-1.397507740248e-02
"                 155",3.589925502111e-02,1.735065713364e-01,7.294218165806e-02,1.005643896783e-01,-1.381110401012e-02
"                 156",3.568594750232e-02,1.719200549363e-01,7.229559154781e-02,9.962446338854e-02,-1.366443592036e-02
"                 157",3.522584965170e-02,1.704531023903e-01,7.168727339004e-02,9.876582900021e-02,-1.353927780508e-02
"                 158",3.496019237992e-02,1.690971265422e-01,7.112557793808e-02,9.797154860408e-02,-1.342298533300e-02
"                 159",3.481313701173e-02,1.680457519078e-01,7.069212525010e-02,9.735362665771e-02,-1.333075070381e-02
"                 160",3.485213204494e-02,1.674660433646e-01,7.043740278885e-02,9.702864057571e-02,-1.329561889343e-02
"                 161",3.495533291924e-02,1.676295374192e-01,7.048372171863e-02,9.714581570060e-02,-1.333104699099e-02
"                 162",3.510333693881e-02,1.681913838967e-01,7.069704903056e-02,9.749433486612e-02,-1.339864291778e-02
"                 163",3.536922958270e-02,1.688049268509e-01,7.092929776992e-02,9.787562908097e-02,-1.347316565553e-02
"                 164",3.552243317487e-02,1.695459577181e-01,7.121890591343e-02,9.832705180465e-02,-1.355407294561e-02
"                 165",3.581045062518e-02,1.703749488370e-01,7.154608016590e-02,9.882886867106e-02,-1.364139425258e-02
"                 166",3.598650978894e-02,1.713806839168e-01,7.194654579543e-02,9.943413812135e-02,-1.374379616296e-02
"                 167",3.627524850871e-02,1.723979562164e-01,7.235273018483e-02,1.000452260315e-01,-1.384624792336e-02
"                 168",3.659032672226e-02,1.733539430973e-01,7.273915765788e-02,1.006147854394e-01,-1.393781389076e-02
"                 169",3.674221441755e-02,1.742490636268e-01,7.310728032134e-02,1.011417833055e-01,-1.401725149208e-02
"                 170",3.688975206886e-02,1.750079722657e-01,7.342226521956e-02,1.015857070462e-01,-1.408172091330e-02
"                 171",3.697070146008e-02,1.757708174516e-01,7.375387848942e-02,1.020169389622e-01,-1.413153023640e-02
"                 172",3.705867545868e-02,1.763469667153e-01,7.402244433032e-02,1.023245223850e-01,-1.415103902733e-02
"                 173",3.691876335901e-02,1.766714953952e-01,7.420453739144e-02,1.024669580038e-01,-1.413121030616e-02
"                 174",3.667763918966e-02,1.765530367653e-01,7.421483104816e-02,1.023382057171e-01,-1.406168733448e-02
"                 175",3.635056160589e-02,1.761262405797e-01,7.411191455755e-02,1.020143260222e-01,-1.395120573233e-02
"                 176",3.602130754277e-02,1.755649794840e-01,7.395850027772e-02,1.016064792063e-01,-1.382398946428e-02
"                 177",3.565097858725e-02,1.749927915135e-01,7.380435725968e-02,1.011884342539e-01,-1.369203849709e-02
"                 178",3.537338961066e-02,1.742500648397e-01,7.358913145451e-02,1.006609333852e-01,-1.353590096534e-02
"                 179",3.495067650115e-02,1.733927821790e-01,7.334462374197e-02,1.000481584370e-01,-1.335176734753e-02
"                 180",3.434556950056e-02,1.722906261658e-01,7.299123493007e-02,9.929939123569e-02,-1.315407815281e-02
"                 181",3.381906238033e-02,1.712427532454e-01,7.265166261893e-02,9.859109062646e-02,-1.296971400376e-02
"                 182",3.347639950414e-02,1.704217597335e-01,7.239780896667e-02,9.802395076685e-02,-1.281307090009e-02
"                 183",3.319218970241e-02,1.699725713670e-01,7.229325348438e-02,9.767931788266e-02,-1.269303219914e-02
"                 184",3.291715382205e-02,1.696566389297e-01,7.222217239748e-02,9.743446653224e-02,-1.260614706738e-02
"                 185",3.267344976416e-02,1.695877063549e-01,7.225775166844e-02,9.732995468650e-02,-1.253610150903e-02
"                 186",3.245046361072e-02,1.695945399672e-01,7.230771665554e-02,9.728682331164e-02,-1.248955332805e-02
"                 187",3.250251882165e-02,1.698253377716e-01,7.245696838211e-02,9.736836938953e-02,-1.245570050371e-02
"                 188",3.237411876821e-02,1.701646130470e-01,7.262517809355e-02,9.753943495345e-02,-1.245712842995e-02
"                 189",3.250534001659e-02,1.708234439296e-01,7.292304030653e-02,9.790040362303e-02,-1.248868165825e-02
"                 190",3.257403239355e-02,1.716468530520e-01,7.328415842433e-02,9.836269462763e-02,-1.253926810165e-02
"                 191",3.268254790250e-02,1.726287955609e-01,7.371552514795e-02,9.891327041297e-02,-1.259887263251e-02
"                 192",3.278392573672e-02,1.735101956313e-01,7.409252023699e-02,9.941767539432e-02,-1.266257757866e-02
"                 193",3.292445353729e-02,1.744174521061e-01,7.448098390616e-02,9.993646819997e-02,-1.272774214690e-02
"                 194",3.311019317871e-02,1.753262858866e-01,7.486977604742e-02,1.004565098392e-01,-1.279336689590e-02
"                 195",3.332667364281e-02,1.761644316639e-01,7.522022576642e-02,1.009442058974e-01,-1.286199006551e-02
"                 196",3.352726712086e-02,1.771319100188e-01,7.563568432172e-02,1.014962256971e-01,-1.293027068768e-02
"                 197",3.363018331726e-02,1.780301690949e-01,7.600561424047e-02,1.020245548544e-01,-1.300947030698e-02
"                 198",3.377246547326e-02,1.789430602168e-01,7.637798195272e-02,1.025650782641e-01,-1.309354815567e-02
"                 199",3.401130883491e-02,1.799561144746e-01,7.679735878321e-02,1.031587556913e-01,-1.318069845406e-02
"                 200",3.419814557238e-02,1.808888650456e-01,7.716946257320e-02,1.037194024724e-01,-1.327496994961e-02
"                 201",3.443347742653e-02,1.818868174244e-01,7.757650635180e-02,1.043103110726e-01,-1.336690236040e-02
